beta.(Intercept),beta.veg1,alpha.(Intercept),alpha.sal,alpha.twg,delta.(Intercept),delta.sal,delta.fish,delta.turb
0.02600936,1.248675,1.155864,-0.02689565,0.003859637,1.117045,-0.04295899,-0.001445046,0.001879244
-0.02154167,1.018617,1.389779,-0.03134036,-0.004055731,1.040768,-0.0376848,-0.001236059,0.001901478
-0.02154167,1.018617,0.7816317,-0.02670029,0.01162355,1.060018,-0.03757545,-0.000974931,0.001346161
-0.3383291,1.093369,1.357369,-0.0322895,0.00261929,0.9340539,-0.036639,-0.001271337,0.002228125
-0.9796438,1.892397,1.37252,-0.03040666,-0.002236577,1.041772,-0.04456483,-0.001723343,0.002463839
-0.9796438,1.892397,1.14743,-0.02152681,-0.005309337,1.044187,-0.03510484,-0.001688417,0.001775382
-0.9762173,1.637477,1.403143,-0.03858124,-0.006702504,1.090074,-0.04729271,-0.0007632667,0.002066717
-0.8726825,1.524208,1.276373,-0.02926754,-0.002369579,0.8968372,-0.03843484,-0.001183385,0.002350016
-1.491655,2.620932,1.287291,-0.02834754,-0.003477804,1.031948,-0.04796221,-0.001462457,0.00274976
-0.7460842,2.032546,1.155524,-0.03211799,0.004672119,1.061335,-0.0386444,-0.001954759,0.002168193
-0.4389748,1.303339,1.407229,-0.04560829,-0.003248484,1.165424,-0.04699585,-0.001736148,0.002414722
-0.7840968,1.984159,1.199001,-0.02991183,0.004980708,0.9750101,-0.03828777,-0.00109423,0.001773502
-0.9680436,2.118316,1.00934,-0.02623621,0.004771101,1.094204,-0.04783015,-0.001215248,0.002363277
-0.9680436,2.118316,0.9866845,-0.02675752,0.003281825,0.9870901,-0.05076307,-0.001397123,0.00275672
-1.463943,2.739372,1.05134,-0.02129508,0.001092973,1.098689,-0.03956689,-0.001737525,0.001804514
-0.924303,1.638959,1.358546,-0.03816299,-0.005206731,1.297771,-0.03705725,-0.001641455,0.001341119
-0.924303,1.638959,1.278177,-0.03640098,0.00179181,0.9182432,-0.03674816,-0.001444426,0.002462837
-0.924303,1.638959,1.278177,-0.03640098,0.00179181,0.8653591,-0.04483677,-0.001169913,0.002939607
-0.8068908,1.748628,0.9767888,-0.01463085,-0.0001890219,0.8653591,-0.04483677,-0.001169913,0.002939607
-0.8068908,1.748628,1.233975,-0.02601403,0.003317871,1.106015,-0.04752015,-0.0008814969,0.00178097
-0.7474982,1.323351,1.348713,-0.04370631,0.002158821,0.9969709,-0.03966602,-0.001468277,0.001985651
-0.6618987,1.189378,1.313093,-0.03078557,-0.002500223,1.100723,-0.04694031,-0.001559777,0.00246996
